"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other","All_Visitors"
"Recreation_Visits",288432.06949807,630277.485199485,395258.761904762,1773323.09395109,528792.127413127,363210.754182754,170922.707850708,4150217
"Party_Trips",63784.18,139257.07,54075.4,236011.96,115557.72,38234.32,27483.07,674403.72
"Total.Days_ATTR",63784.18,104442.8025,NA,NA,NA,NA,NA,168226.98
"Total.Nights_ATTR",NA,NA,171419.018,667913.8468,391740.6708,129996.688,146484.7631,1507554.99
