"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n","54","117","74","332","99","68","32"
"SEGMENT_share","6.96%","15.1%","9.54%","42.8%","12.8%","8.76%","4.12%"
