"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n",7,32,70,197,92,41,13
"Party_reEntry",2.07,1.42,1.6,2.7,1.45,2.87,2.62
