"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n",41,94,67,310,89,61,29
"TotalCovered",3.8,3.66,4.54,3.31,3.2,3.74,3.38
"NumberSplit",2.26,2.7,3,2.32,3.34,2.51,2.52
