"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n","514","206","12","62","4","14","19"
"SEGMENT_share","61.9%","24.8%","1.44%","7.46%","0.481%","1.68%","2.29%"
