"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n",505,200,12,62,4,14,19
"daysPark",1,1,2,1.39,16.25,2,1.11
"daysLocalArea",1,1,3.17,3.1,16.5,3.79,5.05
"nightsLocalArea",0,0,2.17,2.1,15.5,2.79,4.05
"DaysAttributable",1,0.81,NA,NA,NA,NA,NA
"NightsAttributable",NA,NA,2.06,1.48,15.34,2.48,2.23
