"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"n",410,175,9,54,3,11,14
"TotalCovered",2.4,2.45,1.67,3.24,13.33,2.36,2.43
"NumberSplit",1.39,1.53,0.88,2.09,11.67,1.36,1.18
