"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp","All_Visitors"
"Recreation_Visits",1417177.69770254,574606.162031439,52488.0628778718,196139.603385732,44200.4740024184,2284612
"Party_Trips",520389.86,224096.63,20000.02,57557.77,16263.33,838307.61
"Total.Days_ATTR",520389.86,179277.304,NA,NA,NA,699667.16
"Total.Nights_ATTR",NA,NA,44600.0446,90941.2766,36917.7591,172459.08
