"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp"
"Sample Size","513","208","19","71","16"
"Segment_Shares","62%","25.2%","2.3%","8.59%","1.93%"
"Re-entry_Rate","1.13","1.11","1.08","1.11","1.07"
"Party_Size","2.41","2.31","2.43","3.07","2.54"
"Days_LocalArea","1","1",NA,NA,NA
"Nights_LocalArea",NA,NA,"4.05","2.14","2.56"
"Hours_Park","2.57","3.73",NA,NA,NA
"Days_Park",NA,NA,"1.11","1.49","1.94"
"Non-LocalVisitors","0%","100%","94.7%","95.8%","93.8%"
"Average Days Attributable","1","0.8",NA,NA,NA
"Average Nights Attributable",NA,NA,"2.23","1.58","2.27"
