"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp"
"n",504,202,19,71,16
"daysPark",1,1,1.11,1.49,1.94
"daysLocalArea",1,1,5.05,3.14,3.56
"nightsLocalArea",0,0,4.05,2.14,2.56
"DaysAttributable",1,0.8,NA,NA,NA
"NightsAttributable",NA,NA,2.23,1.58,2.27
