"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp"
"n",409,177,14,60,13
"TotalCovered",2.41,2.31,2.43,3.07,2.54
"NumberSplit",1.39,1.52,1.18,1.94,1.31
